title,company,location,url,scraped_at,posted_on
"Data Scientist, Sr.",Wiraa,United States,https://www.linkedin.com/jobs/view/4253104476/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=gVCdGbb7qXLVn32TfjYy2g%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 12:06 UTC
[Full Remote] Data Scientist ($145000-$180000 per year),Joinrs US,United States,https://www.linkedin.com/jobs/view/4251498523/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=R6qB2yl5Gk0K0m6igJGOjg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-16 12:31 UTC
Data Scientist,Nomis Solutions,United States,https://www.linkedin.com/jobs/view/4252565503/?eBP=BUDGET_EXHAUSTED_JOB&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=hAzL9fZB0g6pLRrPMMo3VA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 14:31 UTC
Senior Data Scientist,SLB,"Houston, TX",https://www.linkedin.com/jobs/view/4250578784/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=NNFg8EKu0q5eyxkYRWDnRA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:31 UTC
Data Scientist,Jerry,"New York, NY",https://www.linkedin.com/jobs/view/4250593083/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=f%2BwLo0pginhXGViP4lS%2Bzg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:31 UTC
Lead Data Scientist,Facebook,United States,https://www.linkedin.com/jobs/view/4251506080/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=3Gjws9Ew0wghID8k%2Bpj%2Ffw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 18:31 UTC
Lead Data Scientist,Facebook,United States,URL not found,2025-06-18,2025-06-17 18:31 UTC
Data Scientist,Lensa,"Sacramento, CA",https://www.linkedin.com/jobs/view/4253112838/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=Y7BVyjswQveCjTlGyGSXUA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 12:11 UTC
Machine Learning Specialist,Tech Mahindra Business Process Services,"San Jose, CA",https://www.linkedin.com/jobs/view/4251583538/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=aUREylg1nmq93dj0j4zaPA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 03:32 UTC
Data Scientist,Cognizant,"Austin, Texas Metropolitan Area",https://www.linkedin.com/jobs/view/4250817088/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=dsrYXRgq6b1d5XUvILtIsA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:32 UTC
Data Scientist,Cognizant,"Austin, Texas Metropolitan Area",URL not found,2025-06-18,2025-06-17 12:32 UTC
Data Scientist (Python Programmer/Mining Efficiency & Automation),LevelUP HCS,"Texas, United States",https://www.linkedin.com/jobs/view/4251182028/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=8dlEIiwnyu%2FRWH6CPSiyZA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 15:32 UTC
Data Scientist (Python Programmer/Mining Efficiency & Automation),LevelUP HCS,"Texas, United States",URL not found,2025-06-18,2025-06-17 15:32 UTC
Machine Learning Engineer and Data Scientist,hackajob,United States,https://www.linkedin.com/jobs/view/4251560438/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=yFg71xhnOW6Mg6C0GMd5Jw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 00:32 UTC
Data Scientist,Leidos,"Washington, DC",https://www.linkedin.com/jobs/view/4252030806/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=HFf3tpOwRyWjFCLPEML7jA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:33 UTC
Data Scientist,Jobs via Dice,United States,https://www.linkedin.com/jobs/view/4250826682/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=xfpio%2BH%2BjIHC2ScIgeyZsw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:33 UTC
Senior Data Scientist II,"iHerb, LLC",United States,https://www.linkedin.com/jobs/view/4251826703/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=LYz1jzbe%2Fhxq6CiRALN7gw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 07:33 UTC
Senior Data Scientist,ShiftKey,"Cleveland, OH",https://www.linkedin.com/jobs/view/4251272266/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=d3EAGx4Pr6hW4l93KegJPw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-15 12:33 UTC
Data Scientist,"Spalding, a Saalex company","Lexington Park, MD",https://www.linkedin.com/jobs/view/4252847749/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=EzNxqv1CszvIe6vvb7yMyw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 20:33 UTC
Data Scientist,Underdog.io,United States,https://www.linkedin.com/jobs/view/4242858246/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Ajtwqn6SfN4Im9SIdifXkQ%3D%3D&trackingId=GX87Dr7FOx41r%2FLqjoWnSA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 11:33 UTC
Data Scientist,Jerry,San Francisco Bay Area,https://www.linkedin.com/jobs/view/4250592101/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=inymK%2Bq9TyFjamMnyvlOqg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:35 UTC
Data Scientist - Delivery,Lensa,"Chicago, IL",https://www.linkedin.com/jobs/view/4253113641/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=hTzm3BPDQOy%2BqvQIBPvd8g%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 12:11 UTC
"Data Scientist, Product",Jobs via Dice,"Bellevue, WA",https://www.linkedin.com/jobs/view/4250829566/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=%2Fx3LEAaFqDCfsl7M6vLkig%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:35 UTC
"Machine Learning Engineer: 2D & 3D Geometric Data, Generative AI East Coast, United States",Autodesk,"Atlanta, GA",https://www.linkedin.com/jobs/view/4251563072/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=3KXQF5PywNJh%2FQSlhVZdJw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 01:35 UTC
"Machine Learning Engineer: 2D & 3D Geometric Data, Generative AI East Coast, United States",Autodesk,"Atlanta, GA",URL not found,2025-06-18,2025-06-18 01:36 UTC
Senior Data Scientist,ShiftKey,"Irving, TX",https://www.linkedin.com/jobs/view/4251271265/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=1G3ohZa%2BTRX%2BIBOM7avQEQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-15 12:36 UTC
"Senior Data Scientist, Fraud",World,"San Francisco, CA",https://www.linkedin.com/jobs/view/4144418038/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=3vxyZY1Qj7Phff7Jm1TSKA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-16 12:36 UTC
Senior Data Scientist,LiveRamp,"Seattle, WA",https://www.linkedin.com/jobs/view/4119043453/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=sKoBpf%2FiogxLRQJHGF2PPA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 12:04 UTC
Machine Learning Scientist,Whatnot,Los Angeles Metropolitan Area,https://www.linkedin.com/jobs/view/4251126086/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=VP5BMNESE2pxB0Oick9RRw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:36 UTC
Data Scientist,Snapdocs,United States,https://www.linkedin.com/jobs/view/4249771152/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=W7ouO82zRIlHsdG6Lautsg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:37 UTC
Staff Data Scientist,Mozilla,United States,https://www.linkedin.com/jobs/view/4250845920/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=UbygG2d4Rih%2BuKQmaub9ig%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:37 UTC
Data Scientist,"KBR, Inc.","McLean, VA",https://www.linkedin.com/jobs/view/4252870616/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=SpDTA3IsKTblfHJp3zREJA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 00:37 UTC
"Staff Data Scientist, AI/ML",Komodo Health,United States,https://www.linkedin.com/jobs/view/4231036386/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=5lZ%2B3vUl4dtlb7qg0QlMeA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 12:37 UTC
Data Scientist | Pay,Machinify,"Palo Alto, CA",https://www.linkedin.com/jobs/view/4252588085/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=CEUDoKIkozMEDeIT1Ib4jA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 17:37 UTC
Senior Data Scientist - Experimentation Platform,Skyscanner,"London, OR",https://www.linkedin.com/jobs/view/4250309123/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=mDYc63hTlpSdt9oJWryqtQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-18 06:37 UTC
"Senior Data Scientist II - Raleigh, NC",LexisNexis,"Raleigh, NC",https://www.linkedin.com/jobs/view/4251508665/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=SoN0vtl3Je95OfMCoVQDWg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-17 18:37 UTC
Senior Data Scientist,Roku,"Austin, TX",https://www.linkedin.com/jobs/view/4187177485/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=za%2FznGHNyPaWmWj3D31MRQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-15 12:37 UTC
"Data Scientist, LATAM (Spanish required)",Dataiku,United States,https://www.linkedin.com/jobs/view/4220230668/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9JgCd7VOeqHDCa3NZo20vg%3D%3D&trackingId=H7quNftBgX17TVpqQ3nSQQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-18,2025-06-15 12:37 UTC
