title,company,url,scraped_at
"Data Scientist, Machine Learning",Ever.Ag,https://www.linkedin.com/jobs/view/4222401952/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=xDaZDiiwOwUok1Em%2BGRnLw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:28
"Data Scientist, Analytics",Discord,https://www.linkedin.com/jobs/view/4222400361/?eBP=BUDGET_EXHAUSTED_JOB&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=X8xHulBMsjqRiae0wrugfQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:31
"Data Scientist, Operations Research/Customer Support (ML/Algo)",Airbnb,https://www.linkedin.com/jobs/view/4239108699/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=9hq5TUUUMcx9NjHgcJv8%2Fw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:33
"Data Scientist / Senior Data Scientist, Analytics",DoorDash,https://www.linkedin.com/jobs/view/3987286133/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=ov9jjNcYgxR6wJSh5yzT9w%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:35
Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),TikTok,https://www.linkedin.com/jobs/view/4082173498/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=YH%2ByaamWkML0CybjvLKlig%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:37
Data Scientist - Retail Analytics,CVS Health,https://www.linkedin.com/jobs/view/4241447510/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=FPfdhYN%2BjlTWiRdwsk%2BeaQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:40
Data Scientist - Integrated Operations,Southwest Airlines,https://www.linkedin.com/jobs/view/4240352591/?eBP=BUDGET_EXHAUSTED_JOB&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=a51t2Ny7G%2BBXPNRQHU9lMQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:42
Data Scientist,McGraw Hill,https://www.linkedin.com/jobs/view/4237252556/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=MY2PXrzPPBfKuKrcqADp3Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:44
Data Scientist,Extend,https://www.linkedin.com/jobs/view/4222647498/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=JXgzAIN9X3m0Cwj3YqVXbA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:46
Applied Sr Data Scientist - Fintech Foundation,Hopper,https://www.linkedin.com/jobs/view/4225011259/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=GF8FtZslfix0PN37coV3%2Bg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:49
Data Scientist 1,PayPal,https://www.linkedin.com/jobs/view/4232566076/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=aSiK1hy0ROXY0WxdNhs32A%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:51
Data Scientist,Garner Health,https://www.linkedin.com/jobs/view/4240353941/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=iPcseTGF3tkmS60yEjXdsA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:53
Data Scientist - Product Analytics,Haus,https://www.linkedin.com/jobs/view/4231059076/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=iB6Z1R%2FxHqzHad1lZigy7A%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:55
Data Scientist,Leidos,https://www.linkedin.com/jobs/view/4241022961/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=S%2FiWKWteNTK1Hn44JfdzMA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:58
Data Scientist,Jerry,https://www.linkedin.com/jobs/view/4238498508/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=vKU6FSONSUw%2FvyEYIYy3fQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:00
Associate Data Scientist,Spectrum,https://www.linkedin.com/jobs/view/4241413406/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=xCCCjNraqOPHiwLmLDmgTg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:02
Data Scientist I,GM Financial,https://www.linkedin.com/jobs/view/4238817046/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=RhHbhSV5OGn07CnJ6EFvrQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:05
Data Scientist,Ford Motor Company,https://www.linkedin.com/jobs/view/4240949457/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=TCjU98BsNWPxKrH5WXxNEg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:07
Data Scientist (Machine Learning),Ascension,https://www.linkedin.com/jobs/view/4238889183/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=5kfS8%2FvmRZ3PxUcrpub2cw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:09
Data Scientist,ScrollTab,https://www.linkedin.com/jobs/view/4240570132/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=58iqBSnYvYc8LOnSUY03kA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:11
Data Analyst,The Home Depot,https://www.linkedin.com/jobs/view/4238018028/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=Q%2FboGzXvz1v5ttLXvhMY7Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:14
Sr Data Scientist,Uber,https://www.linkedin.com/jobs/view/4240382407/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=ntXURTQJ7JuXjjEDR%2BjTjg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:16
Energy Data Scientist,DNV,https://www.linkedin.com/jobs/view/4238014520/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=9a3XgZwqJzz7xojIJl80HQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:18
Data Scientist,Microsoft,https://www.linkedin.com/jobs/view/4239181429/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=fYPEYigfgG%2BcVLcaVDhdUw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:21
"Senior Data Scientist, Marketing",Dropbox,https://www.linkedin.com/jobs/view/4236253828/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=UPJ8NywQR1S1T22%2BKSbUaw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:42:23
Data Scientist,PayPal,https://www.linkedin.com/jobs/view/4237800446/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=JRy3j5PYmU0AHBzXxZgVGw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:43:57
Data Scientist,Jerry,https://www.linkedin.com/jobs/view/4238497755/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=7hhP%2BRhyvI3d2mesy1hC9w%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:00
Data Scientist,Microsoft,https://www.linkedin.com/jobs/view/4239180726/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=0aBEQNqbyTzLjs9DTLkEFA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:02
Data Scientist,Leidos,https://www.linkedin.com/jobs/view/4238836572/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=bstpInJ%2BbnFlH8i%2FFJJC%2FA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:04
"Data Scientist, Finance",Adobe,https://www.linkedin.com/jobs/view/4239939723/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=DSQ05UWZnKoO2u96DBVGrQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:07
Data Scientist - Research,Mayo Clinic,https://www.linkedin.com/jobs/view/4241044794/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=xhVR7yT%2B9QS02h4JiA2Gjg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:09
Clinical Data Scientist,GeneDx,https://www.linkedin.com/jobs/view/4240344792/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=hV5ZpK%2BxZMpWEuvlaRo8jQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:11
Associate Data Scientist,NielsenIQ,https://www.linkedin.com/jobs/view/4239298158/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=9CVA3X394YdfFVn03JOhcw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:14
Data Scientist I - QA,Cotiviti,https://www.linkedin.com/jobs/view/4239222727/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=gzZmnPuCuGu3CjVOI8SzuA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:16
Special Agent: STEM-Physical Sciences Background,Federal Bureau of Investigation (FBI),https://www.linkedin.com/jobs/view/4240388743/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=NuU9Z9f53p2qFw8Nnzn5DQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:19
Data Scientist II - Agriculture Analytics (Machine Learning/Geospatial),McKinsey & Company,https://www.linkedin.com/jobs/view/4241015234/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=I5umL2%2FhAuwz2Xt5dG0cAA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:21
"Data Scientist, Finance Analytics",Airtable,https://www.linkedin.com/jobs/view/4222041639/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=3sHKfaTgXs5BV51Zfdlbpw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:23
"Senior Data Scientist, Analytics",Etsy,https://www.linkedin.com/jobs/view/4213623434/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=OreA8oRGaxvMwRrfMQHInA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:25
Data Scientist – NLP & Real World Evidence (RWE) - Remote,Veradigm®,https://www.linkedin.com/jobs/view/4223087620/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=H3Tvhw24oOk8o2oYDyruhQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:28
Sr Data Scientist,Murphy Oil Corporation,https://www.linkedin.com/jobs/view/4241069102/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=S2qaJtoXWA%2BFwKkd8xbHkw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:30
Data Scientist - ML Model Operations (Remote),Hilton Grand Vacations,https://www.linkedin.com/jobs/view/4226630468/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=q%2Fnle%2B3HFCeA9VsVsCF0Tw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:32
Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),TikTok,https://www.linkedin.com/jobs/view/4076512091/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=ZiSirMjtquUYxh0dujQ%2FVg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:35
"Data Scientist, Data and Metrics Quality Team",Jacobs,https://www.linkedin.com/jobs/view/4240983128/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=EqZZF3r%2F1lxmR2l5uQm0Wg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:37
Data Scientist- Relocate to Saudi Arabia,aramco,https://www.linkedin.com/jobs/view/4240916286/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=3RZKZ6%2B0e%2FD6%2Bbpd60JnPA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:40
Senior Data Scientist Intern (May 2025 Start),Flow,https://www.linkedin.com/jobs/view/4237884085/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=1CYAho7M6VosDq%2ButROsDw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:42
Junior Data Scientist,Peraton,https://www.linkedin.com/jobs/view/4236221561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=MDD0sgtScJmtvmSaiYkNOg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:44
"Data Scientist, SAMBA",Audible,https://www.linkedin.com/jobs/view/4227182683/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=z6m%2BNySHKlq6vc2q9EgZcA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:47
"Senior Data Scientist, Monetization",Hinge,https://www.linkedin.com/jobs/view/4223639729/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=z6m4xtpTFaRErpOd2By8QA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:49
Senior Data Scientist - Finance,Bechtel Corporation,https://www.linkedin.com/jobs/view/4236238458/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=Fuu%2Bp5uAzuYQnJ19KNQ1%2BQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:51
Data Scientist,Capgemini,https://www.linkedin.com/jobs/view/4238474241/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oxrQ2XeJxoVjY7hLcrng%2Fw%3D%3D&trackingId=Zd%2FtuAfUKH2h3bJ4AbX2Ag%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:44:54
Data Scientist,Capgemini,URL not found,2025-06-02 15:44:56
